operationCode,name,shortDescription,longDescription,operationCategory,defaultLaborHours
BRAKE-PAD-REPLACE-FRONT,Brake Pad Replacement - Front,Brake Pad Replacement - Front service,Brake Pad Replacement - Front service for the sdk-seeder reference site. Intended sell price $189.99; default labor hours derived from that price at the platform default REPAIR labor rate.,REPAIR,1.5
BRAKE-PAD-REPLACE-REAR,Brake Pad Replacement - Rear,Brake Pad Replacement - Rear service,Brake Pad Replacement - Rear service for the sdk-seeder reference site. Intended sell price $179.99; default labor hours derived from that price at the platform default REPAIR labor rate.,REPAIR,1.4
WHEEL-ALIGNMENT-4-WHEEL,Wheel Alignment - 4-Wheel,Wheel Alignment - 4-Wheel service,Wheel Alignment - 4-Wheel service for the sdk-seeder reference site. Intended sell price $129.99; default labor hours derived from that price at the platform default TIRE_SERVICE labor rate.,TIRE_SERVICE,1.4
COOLANT-SYSTEM-FLUSH,Coolant System Flush,Coolant System Flush service,Coolant System Flush service for the sdk-seeder reference site. Intended sell price $149.99; default labor hours derived from that price at the platform default MAINTENANCE labor rate.,MAINTENANCE,1.2
BATTERY-REPLACEMENT,Battery Replacement,Battery Replacement service,Battery Replacement service for the sdk-seeder reference site. Intended sell price $199.99; default labor hours derived from that price at the platform default REPAIR labor rate.,REPAIR,1.6
AIR-FILTER-REPLACEMENT,Air Filter Replacement,Air Filter Replacement service,Air Filter Replacement service for the sdk-seeder reference site. Intended sell price $49.99; default labor hours derived from that price at the platform default MAINTENANCE labor rate.,MAINTENANCE,0.4
SPARK-PLUG-REPLACEMENT,Spark Plug Replacement,Spark Plug Replacement service,Spark Plug Replacement service for the sdk-seeder reference site. Intended sell price $249.99; default labor hours derived from that price at the platform default MAINTENANCE labor rate.,MAINTENANCE,2.0
WIPER-BLADE-REPLACEMENT,Wiper Blade Replacement,Wiper Blade Replacement service,Wiper Blade Replacement service for the sdk-seeder reference site. Intended sell price $34.99; default labor hours derived from that price at the platform default MAINTENANCE labor rate.,MAINTENANCE,0.3
CABIN-AIR-FILTER-REPLACEMENT,Cabin Air Filter Replacement,Cabin Air Filter Replacement service,Cabin Air Filter Replacement service for the sdk-seeder reference site. Intended sell price $59.99; default labor hours derived from that price at the platform default MAINTENANCE labor rate.,MAINTENANCE,0.5
TRANSMISSION-SERVICE,Transmission Service,Transmission Service service,Transmission Service service for the sdk-seeder reference site. Intended sell price $299.99; default labor hours derived from that price at the platform default MAINTENANCE labor rate.,MAINTENANCE,2.4
